# POD Eigenvalue Spectrum
# mode   eigenvalue      energy_%    cumulative_%
     1  0.46365264E+01  0.49605558E+02  0.49605558E+02
     2  0.44860558E+01  0.47995694E+02  0.97601253E+02
     3  0.77166868E-01  0.82559771E+00  0.98426850E+02
     4  0.76142052E-01  0.81463335E+00  0.99241484E+02
     5  0.33209761E-01  0.35530667E+00  0.99596790E+02
     6  0.32789298E-01  0.35080819E+00  0.99947599E+02
     7  0.20112016E-02  0.21517569E-01  0.99969116E+02
     8  0.19684166E-02  0.21059818E-01  0.99990176E+02
     9  0.39077687E-03  0.41808680E-02  0.99994357E+02
    10  0.38187568E-03  0.40856354E-02  0.99998443E+02
    11  0.95043942E-04  0.10168621E-02  0.99999459E+02
    12  0.24374226E-04  0.26077649E-03  0.99999720E+02
    13  0.99435227E-05  0.10638438E-03  0.99999827E+02
    14  0.95246459E-05  0.10190288E-03  0.99999928E+02
    15  0.22872282E-05  0.24470740E-04  0.99999953E+02
    16  0.21703784E-05  0.23220580E-04  0.99999976E+02
    17  0.56813364E-06  0.60783838E-05  0.99999982E+02
    18  0.52767350E-06  0.56455063E-05  0.99999988E+02
    19  0.48146818E-06  0.51511619E-05  0.99999993E+02
    20  0.12068724E-06  0.12912162E-05  0.99999994E+02
    21  0.10820213E-06  0.11576397E-05  0.99999995E+02
    22  0.99270507E-07  0.10620815E-05  0.99999997E+02
    23  0.85146698E-07  0.91097282E-06  0.99999997E+02
    24  0.68405438E-07  0.73186038E-06  0.99999998E+02
    25  0.36943288E-07  0.39525116E-06  0.99999999E+02
    26  0.30270190E-07  0.32385661E-06  0.99999999E+02
    27  0.22594775E-07  0.24173839E-06  0.99999999E+02
    28  0.12656004E-07  0.13540485E-06  0.99999999E+02
    29  0.10565522E-07  0.11303907E-06  0.99999999E+02
    30  0.84385304E-08  0.90282677E-07  0.99999999E+02
    31  0.77787282E-08  0.83223543E-07  0.10000000E+03
    32  0.70843893E-08  0.75794908E-07  0.10000000E+03
    33  0.53291601E-08  0.57015951E-07  0.10000000E+03
    34  0.48801411E-08  0.52211959E-07  0.10000000E+03
    35  0.43937545E-08  0.47008175E-07  0.10000000E+03
    36  0.28794730E-08  0.30807086E-07  0.10000000E+03
    37  0.26063562E-08  0.27885046E-07  0.10000000E+03
    38  0.25724356E-08  0.27522135E-07  0.10000000E+03
    39  0.20810617E-08  0.22264993E-07  0.10000000E+03
    40  0.20449214E-08  0.21878333E-07  0.10000000E+03
    41  0.17168440E-08  0.18368278E-07  0.10000000E+03
    42  0.83758614E-09  0.89612190E-08  0.10000000E+03
    43  0.49681248E-09  0.53153284E-08  0.10000000E+03
    44  0.44798148E-09  0.47928923E-08  0.10000000E+03
    45  0.29615556E-09  0.31685276E-08  0.10000000E+03
    46  0.28773599E-09  0.30784478E-08  0.10000000E+03
    47  0.24354171E-09  0.26056193E-08  0.10000000E+03
    48  0.23128488E-09  0.24744852E-08  0.10000000E+03
    49  0.18725995E-09  0.20034685E-08  0.10000000E+03
    50  0.15692001E-09  0.16788656E-08  0.10000000E+03
    51  0.11946459E-09  0.12781352E-08  0.10000000E+03
    52  0.10299085E-09  0.11018850E-08  0.10000000E+03
    53  0.94365633E-10  0.10096049E-08  0.10000000E+03
